dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_1_1,0,0.103646,0.104244
fedprox_synthetic_1_1,1,0.101667,0.104244
fedprox_synthetic_1_1,2,0.130625,0.132841
fedprox_synthetic_1_1,3,0.145937,0.151292
fedprox_synthetic_1_1,4,0.43875,0.425277
fedprox_synthetic_1_1,5,0.372604,0.397601
fedprox_synthetic_1_1,6,0.496875,0.487085
fedprox_synthetic_1_1,7,0.460833,0.476015
fedprox_synthetic_1_1,8,0.415938,0.419742
fedprox_synthetic_1_1,9,0.539583,0.535978
fedprox_synthetic_1_1,10,0.455,0.465867
fedprox_synthetic_1_1,11,0.535208,0.54059
fedprox_synthetic_1_1,12,0.496458,0.488007
fedprox_synthetic_1_1,13,0.441458,0.449262
fedprox_synthetic_1_1,14,0.481979,0.458487
fedprox_synthetic_1_1,15,0.513125,0.491697
fedprox_synthetic_1_1,16,0.566042,0.545203
fedprox_synthetic_1_1,17,0.517917,0.498155
fedprox_synthetic_1_1,18,0.555312,0.545203
fedprox_synthetic_1_1,19,0.496458,0.49262
fedprox_synthetic_1_1,20,0.424167,0.419742
fedprox_synthetic_1_1,21,0.595417,0.583026
fedprox_synthetic_1_1,22,0.542604,0.504613
fedprox_synthetic_1_1,23,0.54,0.499077
fedprox_synthetic_1_1,24,0.522396,0.488007
fedprox_synthetic_1_1,25,0.518229,0.476937
fedprox_synthetic_1_1,26,0.466771,0.441882
fedprox_synthetic_1_1,27,0.468333,0.443727
fedprox_synthetic_1_1,28,0.473542,0.448339
fedprox_synthetic_1_1,29,0.568542,0.556273
fedprox_synthetic_1_1,30,0.521771,0.5
fedprox_synthetic_1_1,31,0.520312,0.510148
fedprox_synthetic_1_1,32,0.446667,0.4631
fedprox_synthetic_1_1,33,0.3975,0.423432
fedprox_synthetic_1_1,34,0.411875,0.431734
fedprox_synthetic_1_1,35,0.454792,0.47417
fedprox_synthetic_1_1,36,0.508229,0.521218
fedprox_synthetic_1_1,37,0.589688,0.595018
fedprox_synthetic_1_1,38,0.592396,0.595018
fedprox_synthetic_1_1,39,0.553542,0.550738
fedprox_synthetic_1_1,40,0.556354,0.577491
fedprox_synthetic_1_1,41,0.587708,0.574723
fedprox_synthetic_1_1,42,0.578854,0.575646
fedprox_synthetic_1_1,43,0.560104,0.546125
fedprox_synthetic_1_1,44,0.543021,0.531365
fedprox_synthetic_1_1,45,0.58375,0.570111
fedprox_synthetic_1_1,46,0.5775,0.561808
fedprox_synthetic_1_1,47,0.571458,0.563653
fedprox_synthetic_1_1,48,0.575625,0.552583
fedprox_synthetic_1_1,49,0.538542,0.539668
fedprox_synthetic_1_1,50,0.557917,0.547048
